sector,ticker,period_end,yf_revenue,sec_revenue,revenue_status,yf_net_income,sec_net_income,net_income_status,yf_capex,sec_capex,capex_status,yf_fcf,sec_fcf(ocf-capex),fcf_status,verified,sec_accession
logistics,ARCB,2025-12-31,4010158000.0,4010158000,match,60098000.0,60098000,match,128166000.0,114775000,sec_replaced,100787000.0,114178000,sec_replaced,1,0001104659-26-019699
logistics,ARCB,2024-12-31,4179019000.0,4179019000,match,173961000.0,173961000,match,240000000.0,223103000,sec_replaced,45846000.0,62743000,sec_replaced,1,0001104659-26-019699
logistics,ARCB,2023-12-31,4427443000.0,4427443000,match,195433000.0,195433000,match,231998000.0,219021000,sec_replaced,90169000.0,103146000,sec_replaced,1,0001104659-26-019699
logistics,ARCB,2022-12-31,5029008000.0,5029008000,match,298209000.0,298209000,match,165505000.0,148223000,sec_replaced,305314000.0,322596000,sec_replaced,1,0001558370-25-002037
logistics,WERN,2025-12-31,2974396000.0,2974396000,match,-14399000.0,-14399000,match,250364000.0,250364000,match,-68534000.0,-68534000,match,1,0000793074-26-000071
logistics,WERN,2024-12-31,3030258000.0,3030258000,match,34233000.0,34233000,match,413799000.0,413799000,match,-84065000.0,-84065000,match,1,0000793074-26-000071
logistics,WERN,2023-12-31,3283499000.0,3283499000,match,112382000.0,112382000,match,598785000.0,598785000,match,-124419000.0,-124419000,match,1,0000793074-26-000071
logistics,WERN,2022-12-31,3289978000.0,3289978000,match,241256000.0,241256000,match,507252000.0,507252000,match,-58541000.0,-58541000,match,1,0000793074-25-000009
logistics,KNX,2025-12-31,7469689000.0,7469689000,match,65946000.0,65946000,match,805817000.0,,,460830000.0,,,1,0001492691-26-000016
logistics,KNX,2024-12-31,7410078000.0,7410078000,match,117626000.0,117626000,match,819150000.0,,,-20087000.0,,,1,0001492691-26-000016
logistics,KNX,2023-12-31,7141766000.0,7141766000,match,217149000.0,217149000,match,1071611000.0,,,90065000.0,,,1,0001492691-26-000016
logistics,KNX,2022-12-31,7428582000.0,7428582000,match,771325000.0,771325000,match,800563000.0,,,635290000.0,,,1,0001492691-25-000013
logistics,CHRW,2025-12-31,16232763000.0,16232763000,match,587081000.0,587081000,match,70543000.0,19628000,sec_replaced,843976000.0,894891000,sec_replaced,1,0001043277-26-000009
logistics,CHRW,2024-12-31,17724956000.0,17724956000,match,465690000.0,465690000,match,74288000.0,22653000,sec_replaced,434796000.0,486431000,sec_replaced,1,0001043277-26-000009
logistics,CHRW,2023-12-31,17596443000.0,17596443000,match,325129000.0,325129000,match,84111000.0,29989000,sec_replaced,647835000.0,701957000,sec_replaced,1,0001043277-26-000009
logistics,CHRW,2022-12-31,24696625000.0,24696625000,match,940524000.0,940524000,match,128497000.0,61915000,sec_replaced,1521674000.0,1588256000,sec_replaced,1,0001043277-25-000012
